review_id,Place_name,city,Username,rating,Komentar,relative_date,review_date,clean_text
11,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Muhammad Dhimas Eko Nugroho,5,"Buat yang mau pertama kali ke Perpusnas RI, kalian harus daftar keanggotaan perpusnas secara online.
nanti kalian tinggal cetak kartunya di bagian Layanan Lt.2 (kartunya dalam bentuk digital).
sanss, gratis kok ga dipungut biaya sepeserpun.
kalian juga wajib menitipkan tas kalian di loker penitipan Lt.1.
Akses buat naik juga mudah karena disediakan banyak lift.
Fasilitas disini juga sangat lengkap, ada mushola, wifi, kantin, minimarket, teater musik dan film, ruangan audio dan visual, dll.
bahkan ada ruang diskusi jugaa.
Disini kita juga bisa lihat indahnya Kota Jakarta dari atas Perpustakaan.
Suasananya enak buat sekedar membaca buku, nugas, dan mungkin buat ngedate hihi.
oh yaa, kalau kalian bingung nyari buku yg ingin kalian baca.
kalian bisa pake komputer yang disediakan buat cari buku tersebut, kalian cuma perlu ngetik judul, penerbit, ataupun pengarang (salah satu aja) nanti bakalan muncul keterangan buku tersebut di lantai berapa dan nomer berapa.
1 lagi nih, yang sering sekali terjadi (kemaren pas saya disana lumayan banyak yg kejadian).
kalau kalian mau pinjam buku, kalian boleh pinjam max. 3 buku.
dan kalian wajib lapor ke pustakawannya dengan menunjukan kartu keanggotaan kaliann.
kemarin banyak kejadian entah mereka ga lapor, ga tau, atau emang sengaja mau membawa pulang tanpa lapor.
alhasil, ketika mereka melewati sensor otomatis sensornya bunyi lumayan keras (jujur rada ganggu sii, soalnya kemaren saya di lt 22 tp masih bisa denger sensor yg bunyi di lt.21).",3 minggu lalu,2025-10-21,kali perpusnas daftar anggota perpusnas daring tinggal cetak kartu layan kartu bentuk digital sanss gratis pungut biaya peser wajib titip tas loker titip akses mudah sedia lift fasilitas lengkap mushola wifi kantin minimarket teater musik film ruang audio visual dsb ruang diskusi lihat indah kota jakarta pustaka suasana enak dar baca buku nugas ngedate bingung nyari buku baca pakai komputer sedia cari buku ngetik judul terbit arang salah muncul terang buku lantai nomer kemarin sana lumayan jadi pinjam buku pinjam max buku wajib lapor pustakawannya tunjuk kartu anggota kaliann kemarin jadi lapor tau sengaja bawa pulang lapor hasil lewat sensor otomatis sensor bunyi lumayan keras jujur rada ganggu kemarin dengar sensor bunyi
12,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Almaida Firdaus,5,"Seneng banget bisa mampir ke Perpustakaan Nasional. Lokasinya ada di tengah Ibu kota, persis dekat Monas jadi gampang buat didatangi. Perpusnas ini luas banget, ada banyak tempat buat nugas, ruang belajar, spot baca buku, ada tempat nontonya juga. Pilihan bukunya juga beragam, pokoknya segala jenis ada. Oh iya cara bikin kartunya juga sekarang sudah canggihnya, ga perlu antri lama, tinggal isi data secara online abis itu nanti input data dibantu petugas dan pengambilan foto, jadi deh. Sekali seumur hidup harus banget mampir ke tempat ini, kalau bisa setiap weekend ya karena weekend juga buka.",sebulan lalu,2025-10-21,senang mampir pustaka nasional lokasi kota persis monas gampang datang perpusnas luas nugas ruang ajar titik baca buku nontonya pilih buku agam pokok jenis iya kartu canggih antri tinggal isi data daring habis input data bantu tugas ambil foto umur hidup mampir akhir pekan akhir pekan buka
13,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Danil Rich,4,"Perpustakaan tertinggi yang pernah saya lihat semasa hidup. Saya pernah ke sini karna study tour sekolah dan kami merasakan experience yang luar biasa dari berkeliling dan membaca buku di perpustakaan yang satu ini.

Ruangan tiap lantainya sangat sejuk dan nyaman, walaupun kekurangannya hanya di keramaian yang tidak bisa dikontrol. Saya rasa hampir tidak ada waktu untuk bernapas dengan lega saking ramainya perpusnas ini.

Akses untuk naik ke lantai-lantai yang di atas juga sangat sulit. Untuk tangga, waduh jangan coba deh, soalnya saya sudah ngos-ngosan sampai lupa cara bernapas ke lantai 20an dan balik lagi. Untuk lift, sangat susah mencari lift yang kosong karna selalu ada saja orang di dalamnya dan karena jarak yang jauh membuat waktu liftnya untuk naik dan turun jadi lebih lama. 🥲",3 bulan lalu,2025-10-21,pustaka tinggi lihat hidup study tour sekolah rasa experience keliling baca buku pustaka ruang lantai sejuk nyaman kurang ramai kontrol nafas lega ramai perpusnas akses lantai lantai sulit tangga aduh coba ngos ngosan lupa nafas lantai lift susah cari lift kosong orang dalam jarak lift turun
14,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Dedi Fahrudin,5,"Perpustakaan ramah anak
lantai 7 khusus untuk anak-anak bisa belajar membaca sambil bermain bikin betah & sangat nyaman tempat nya
Ada mushola dan toiletnya juga bersih

Banyak juga koleksi untuk umum pelajar dan mahasiswa, untuk keperluan pembelajaran tugas dll",3 bulan lalu,2025-10-21,pustaka ramah anak lantai khusus anak anak ajar baca main betah nyaman mushola toilet bersih koleksi ajar mahasiswa perlu ajar tugas dsb
15,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Denny Dave,5,"Tempat fav buat diskusi dan mencari ide✨
tempatnya super nyaman, bagus, adem, luas, ada spot bengong di lt paling atas, parkiran aman di bawah buat yg bawa kendaraan, klo naik tj juga halte nya ga jauh strategis bgt. Cocok buat ngerjain tugas akhir krn super tenang dan damai. Yg suka nugas di area out door di halaman depan juga banyak bangku ya gaes. Mantaplah senang berkunjung ke perpusnas fix😍💓",4 bulan lalu,2025-10-21,suka diskusi cari ide tempat nyaman bagus adem luas titik bengong parkir aman bawa kendara halte strategis cocok ngerjain tugas tenang damai suka nugas area door halaman bangku teman mantap senang kunjung perpusnas
16,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Fitri Nabilla R,5,"Perpustakaan Nasional adalah salah satu list daftar tempat yg bisa dituju untuk rekreasi, membaca, sekedar jalan-jalan ataupun ingin melihat pemandangan dari rooftopnya.

Karena di gedung ini, banyak sekali pilihan yang bisa dituju: ada working space, ada pure library alias perpus tempat bacanya dengan ribuan buku, ada museumnya, ada pameran foto, ada pameran kebudayaan atau buku-buku seputar nusantara.
Total semua lantai kalau tidak salah ada 24 lantai sampai ke rooftop dengan menawarkan pemandangan Monas.
Di gedung ini juga ada beberapa mushola, di antaranya di lantai 6, 19 dan...(?) Tenang, di lift ada keterangan lantai2 tersebut tempat apa.

Tapi kalau mau membaca, disarankan lebih dulu titipkan barang bawaan di lantai pertama sebelum naik lift. Daripada bolak-balik sudah di atas ternyata harus titip barang dulu. Ah, dan syarat menitipkan barang dan tas adalah dengan menyerahkan ktp.

Perpusnas ini cocok untuk semua kalangan, untuk anak-anak juga bisa. Banyak rombongan anak TK dan SD yang datang berkunjung untuk studi-wisata mungkin.

Kalau mau makan atau sekedar ngopi, ada di lantai satu. Dan di gerbang sebelum memasuki Perpusnas pun banyak yang berjualan di depan.

Silakan nikmati buku, museum dan pemandangannya!

Note: untuk yg naik transjakarta, berhenti di Balaikota, setelahnya hanya tinggal menyebrang.",4 bulan lalu,2025-10-21,pustaka nasional salah list daftar tuju rekreasi baca dar jalan jalan pandang rooftopnya gedung pilih tuju working space pure library pus baca ribu buku museum pamer foto pamer budaya buku buku putar nusantara total lantai salah lantai rooftop tawar pandang monas gedung mushola lantai tenang lift terang lantai baca saran titip barang bawa lantai lift bolak titip barang syarat titip barang tas serah ktp perpusnas cocok kalang anak anak rombong anak kunjung studi wisata makan dar ngopi lantai gerbang pasuk perpusnas jual sila nikmat buku museum pandang note transjakarta henti balaikota telah tinggal menyebrang
17,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Dantha Arianvasya,5,"Suka bangett sama perpustakaan ini, di dlaam nya ada kantin, masjid dll, sama lt 24 nya behh gila bagus bngtt gaperlu ke lantai pling atas monas sih menurutku yahh cukup ke lt 24 perpustakaan ini aja kalo mau lihat jkt dari ketinggian",2 bulan lalu,2025-10-21,suka pustaka dlaam kantin masjid dsb behh gila bagus bngtt tidak perlu lantai pling monas turut yahh pustaka lihat jkt tinggi
18,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,mardia ningsih,5,"Akhirnya bisa sampai di rooftopnya Perpusnas.

Sisi depan pemandangan langsung Monas, St. Gambir, Mesjid Istiqlal, gedung Pesona Indonesia sampai bisa melihat muara angke di sore hari (bener bener terlihat jelas). Sisi belakang bisa melihat gedung Sarinah, Mesjid Kementerian BUMN, gedung MNC dan sepintas jalanan Thamrin.

Aku dari jam 15.40 sampai 17.50 duduk di rooftop sambil kerja, seru sekali.

Aku suka sekali saat pertama kali masuk, disajikan pemandangan globe yang berputar dan mesin buku yang sedang bekerja.

Perpusnas tuh nyaman banget buat kerja, ngerjain skripsi, maupun hanya sekedar baca buku. Tapi memang WIFI nya lumayan lemot.

Oiaa mau ngasih saran untuk bapak/ibu pengurus gedung Perpusnas, pencahayaan toilet di seluruh lantai tolong banget ditambah. Karena saat ke toilet di tiga lantai yang berbeda, pencahayaannya kurang banget (remang-remang jd seperti nuansa horor). Tolong juga di toilet perempuan disediakan tisu :( masa hanya ada tempatnya saja tapi tisunya kosong semua.

Semoga masukkan saya dibaca dan bisa ditindaklanjuti.",5 bulan lalu,2025-10-21,rooftopnya perpusnas sisi pandang langsung monas gambir mesjid istiqlal gedung pesona indonesia muara angke sore sisi gedung sarinah mesjid menteri bumn gedung mnc pintas jalan thamrin jam duduk rooftop kerja seru suka kali masuk saji pandang globe putar mesin buku perpusnas nyaman kerja ngerjain skripsi dar baca buku wifi lumayan lambat oiaa ngasih saran urus gedung perpusnas cahaya toilet lantai tolong tambah toilet lantai beda cahaya remang remang nuansa seram tolong toilet perempuan sedia tisu tempat tisu kosong moga masuk baca ditindaklanjuti
19,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Rizki fakih,5,"pas masuk ud disambut gedung yg tinggi adem bgt di dlm tempatnya luas dan byk tempat bwt nyantai.

perpustakaan yg paling besar yg paling komplit isinya dibanding perpustakaan lain yg ud aku kunjungi, sejauh ini baru Bogor dan Depok yg ud aku kunjungi hehehe....

di lantai 24 ada rooftop bagus bgt bs liat Monas dan area jakarta lbh luas.

pngn kesana lagi next time
😋🥰",3 bulan lalu,2025-10-21,masuk sambut gedung adem tempat luas nyantai pustaka komplit isi banding pustaka kunjung bogor depok kunjung lantai rooftop bagus lihat monas area jakarta luas kesana
20,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Dessy Anggraeny,5,"Daerah deket monas dan stasiun gambir
Pas pertama kali kesana langsung menuju bangunan pertama yang isi nya seperti museum2 yang sangat informatif dan bisa menambah ilmu pengetahuan
Terus keluar masuk lagi ke gedung bertingkat disini kita bisa nitipin tas dengan nitip ktp disana, nnti akan di kasih nomor kartu . Gedung ini memiliki 24 lantai dan di setiap lift nya terdapat keterangan ke gunaan ruang perlantai jadi untuk pertama kali gak akan bingung, dan ada 4 lift,
Dilantai 1 ada banyak tempat duduk dan beberapa pajamgan buku dan ada lemari buku yang tersusun tinggi
Dilantai 2 bisa buat registrasi kartu anggota,
Sebelum kesini kalau pengen jadi anggota bisa daftar online atau langsung kesana , tp waktu itu tinggal dftar online trus tinggal foto disana. Dan waktu itu cepet soalnya masi pagi
Lantai 19 ada mushola
Lantai 24 ada beberapa koleksi buku dan pajangan serta ada balkon yang bisa liat view monas dari ketinggian
Baca baca disana bikin nyaman dan tenang sih, bisa banget buat ngerjain tugas, skripsi",5 bulan lalu,2025-10-21,daerah deket monas stasiun gambir kali kesana langsung bangun isi museum informatif tambah ilmu tahu masuk gedung tingkat nitipin tas nitip ktp sana kasih nomor kartu gedung milik lantai lift terang guna ruang lantai kali bingung lift lantai duduk pajamgan buku lemari buku susun lantai registrasi kartu anggota kesini anggota daftar daring langsung kesana tinggal dftar daring tinggal foto sana cepat pagi lantai mushola lantai koleksi buku pajang balkon lihat view monas tinggi baca baca sana nyaman tenang ngerjain tugas skripsi
21,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Nanami Natsumi,5,"Petualangan Literasi (dan Kardio) di Perpusnas...🔥🔥🔥
.
Hari ini saya dan 2 teman datang dengan niat suci pertama kali mengunjungi Perpustakaan Nasional untuk mencari ilmu dan konten dikit lah. Tapi siapa sangka… yang kami dapat bukan cuma wawasan, tapi juga betis yang berotot dan peluh perjuangan. 😅
Masuk dari lantai dasar, langsung disambut keramaian manusia yang mengantri . Oke, ini normal. Lanjut naik eskalator ke lantai 2, suasana makin padat dengan yang lagi registrasi. Lalu naik lagi… eh, dari lantai 4 ke atas, eskalator bubar jalan, diganti sama lift yang ngantrinya kayak beli tiket konser Coldplay. 💀
Sebelum naik ke lantai 2, Bapak penjaga penitipan tas udah ngasih kode, “Yakin gak mau bawa minum?”
Saya: “Hehe, enggak pak, cuman liat-liat doang kok.”
Plot twist: dari sinilah tragedi dimulai. 😂
Karena males antri lift yang isinya kayak sarden, kami ikut rombongan lain masuk ke tangga darurat. Gak tau ini diperbolehkan apa gak lewat sini. Ya karena banyak yg gak mau nunggu antrian lift dan kami juga baru pertama kali kesana, ya ngikut aja. Fyi buat pemula: kalau kamu gak mau nunggu lift sampe pensiun, lewat tangga darurat aja. Cuma perlu stamina, mental kuat, dan iman yang teguh.🔥🔥
Yang bikin tambah lucu, baru di lantai 13 ada petugas yang bilang:
""Mulai tanggal 1 agustus, lift cuma berhenti di lantai tertentu ya. Gak bisa per lantai.”
Hmmm, infonya telat, Pak… tapi yasudah.
Jadilah kami naik dari lantai 4 ke 24 lewat tangga darurat. Dua-puluh-empat. TANGGA. Darurat.
Haus? Jelas.🥲
Nyesel gak bawa air? Banget.🥲
Keringetan? Seperti habis ikut lomba panjat pinang.😂
Bonusnya: setiap papasan sama pengunjung lain di tangga darurat… ehm… aromanya sungguh diversity in humanity. 🤭😶‍🌫️
Tapi demi konten dikit, kami tetap semangat. Tiap lantai difoto, dibidik, diabadikan. Dan jujur, semua kelelahan itu terbayar lunas pas nyampe lantai 24! Pemandangannya cakep, gedung-gedung tinggi Jakarta keliatan semua. Bisa duduk santai sambil sok mikir, padahal lagi ngatur napas dan istirahat bentar 😌🤣📸
Kesimpulan:
📚 Koleksi bukunya luar biasa.
📷 Spot fotonya banyak.
🏃‍♀️ Jalurnya? Cocok buat latihan hiking.
🚫 Minusnya: lift dan eskalator kurang bersahabat buat pengunjung yang awam jalur.
🔖 Saran: tolong dong, kasih papan petunjuk di bawah tentang “jalur alternatif via tangga darurat” atau info lift berhenti di lantai mana aja. Biar gak ada yang jadi korban tangga kaya kami. 😭
Tapi overall? Worth it!
Ilmu dapat. Konten dikit dapat. Kardio gratis. 🦵🦵
Terima kasih, Perpusnas! Kapan-kapan ke sini lagi.. ya tapi bawa air sendiri kalo gak beli dulu di kantin di lantai 4 nya dan yg pasti harus siap mental. 💪📖",2 bulan lalu,2025-10-21,tualang literasi kardio perpusnas teman niat suci kali unjung pustaka nasional cari ilmu konten dikit sangka wawas betis otot peluh juang masuk lantai dasar langsung sambut ramai manusia antri oke normal eskalator lantai suasana padat registrasi lantai eskalator bubar jalan ganti lift ngantrinya beli tiket konser coldplay lantai jaga titip tas ngasih kode bawa minum lihat lihat plot twist tragedi malas antri lift isi sarden rombong masuk tangga darurat tau boleh nunggu antri lift kali kesana ngikut fyi mula nunggu lift pensiun tangga darurat stamina mental kuat iman teguh lucu lantai tugas tanggal agustus lift henti lantai lantai info telat yasudah lantai tangga darurat puluh tangga darurat haus nyesel bawa air keringetan habis lomba panjat pinang bonus papas unjung tangga darurat ehm aroma sungguh diversity humanity konten dikit semangat lantai foto bidik abadi jujur lelah bayar lunas nyampe lantai pandang cakep gedung gedung jakarta liat duduk santai sok mikir ngatur nafas istirahat bentar simpul koleksi buku titik foto jalur cocok latih hiking minus lift eskalator sahabat unjung awam jalur saran tolong kasih papan tunjuk jalur alternatif via tangga darurat info lift henti lantai korban tangga overall worth ilmu konten dikit kardio gratis terima kasih perpusnas bawa air beli kantin lantai mental
22,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Yuniar Fazriani,5,"Ada ruang baca khusus dengan view monas, cocok buat pengunjung yang ingin fokus baca. Sayang liftnya penuh terus, jadi akhirnya naik turun dengan tangga emergency deh.",3 bulan lalu,2025-10-21,ruang baca khusus view monas cocok unjung fokus baca sayang lift penuh turun tangga emergency
23,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Aisyah Rahma Nadia,5,"Ruangannya nyaman, Wifi-nya bagus dan ada banyak tempat untuk charger di setiap meja buat bacanya. Lantai paling atas itu lantai favorit, karena ada beberapa koleksi terkait indonesia yang bagus-bagus banget. Oiya, jangan lupa buat liat pemandangan monas dan hamparan kota jakarta dari lantai itu juga ya!!",sebulan lalu,2025-10-21,ruang nyaman wifi bagus charger meja baca lantai lantai favorit koleksi kait indonesia bagus bagus oiya lupa lihat pandang monas hampar kota jakarta lantai
24,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Muhammad Hakim Al Fiqqi,5,pengalaman pertama ke Perpustakaan Nasional Indonesia. sangat megah dan maju. untuk masuk ke Perpus sangat mudah tidak ada kewajiban Kartu dan lain sebagainya. perpus ini di lantai 24 nya kita di tawarkan pemandangan Bagus Jakarta dari sana. melihat Monas dan Perbisnisan Kota Jakarta.,3 bulan lalu,2025-10-21,alam pustaka nasional indonesia megah maju masuk pus mudah wajib kartu pus lantai tawar pandang bagus jakarta monas bisnis kota jakarta
25,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Syifa Adhilah,5,"Sejujurnya suka! Banyak buku sejarah, ilmiah, fiksi, non-fiksi, yang bisa dibaca. Ruangan dan tempat yang tersedia juga oke banget! Sayangnya ketika aku datang kantinnya masih dalam perbaikan. Jadi abis nugas cari makannya di luar perpus. Buat kesini turun di halte Balai Kota, langsung nyampe!!!",4 bulan lalu,2025-10-21,jujur suka buku sejarah ilmiah fiksi non fiksi baca ruang sedia oke sayang kantin baik habis nugas cari makan pus kesini turun halte balai kota langsung nyampe
