review_id,Place_name,kategori,city,Username,rating,Komentar,relative_date,review_date,sentiment
11,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Muhammad Dhimas Eko Nugroho,5,kali perpusnas daftar anggota perpusnas daring tinggal cetak kartu layan kartu bentuk digital sanss gratis pungut biaya peser wajib titip tas loker titip akses mudah sedia lift fasilitas lengkap mushola wifi kantin minimarket teater musik film ruang audio visual dsb ruang diskusi lihat indah kota jakarta pustaka suasana enak dar baca buku nugas ngedate bingung nyari buku baca pakai komputer sedia cari buku ngetik judul terbit arang salah muncul terang buku lantai nomer kemarin sana lumayan jadi pinjam buku pinjam max buku wajib lapor pustakawannya tunjuk kartu anggota kaliann kemarin jadi lapor tau sengaja bawa pulang lapor hasil lewat sensor otomatis sensor bunyi lumayan keras jujur rada ganggu kemarin dengar sensor bunyi,3 minggu lalu,2025-10-21,neutral
12,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Almaida Firdaus,5,senang mampir pustaka nasional lokasi kota persis monas gampang datang perpusnas luas nugas ruang ajar titik baca buku nontonya pilih buku agam pokok jenis iya kartu canggih antri tinggal isi data daring habis input data bantu tugas ambil foto umur hidup mampir akhir pekan akhir pekan buka,sebulan lalu,2025-10-21,negative
13,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Danil Rich,4,pustaka tinggi lihat hidup study tour sekolah rasa experience keliling baca buku pustaka ruang lantai sejuk nyaman kurang ramai kontrol nafas lega ramai perpusnas akses lantai lantai sulit tangga aduh coba ngos ngosan lupa nafas lantai lift susah cari lift kosong orang dalam jarak lift turun,3 bulan lalu,2025-10-21,negative
14,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Dedi Fahrudin,5,pustaka ramah anak lantai khusus anak anak ajar baca main betah nyaman mushola toilet bersih koleksi ajar mahasiswa perlu ajar tugas dsb,3 bulan lalu,2025-10-21,negative
15,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Denny Dave,5,suka diskusi cari ide tempat nyaman bagus adem luas titik bengong parkir aman bawa kendara halte strategis cocok ngerjain tugas tenang damai suka nugas area door halaman bangku teman mantap senang kunjung perpusnas,4 bulan lalu,2025-10-21,negative
16,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Fitri Nabilla R,5,pustaka nasional salah list daftar tuju rekreasi baca dar jalan jalan pandang rooftopnya gedung pilih tuju working space pure library pus baca ribu buku museum pamer foto pamer budaya buku buku putar nusantara total lantai salah lantai rooftop tawar pandang monas gedung mushola lantai tenang lift terang lantai baca saran titip barang bawa lantai lift bolak titip barang syarat titip barang tas serah ktp perpusnas cocok kalang anak anak rombong anak kunjung studi wisata makan dar ngopi lantai gerbang pasuk perpusnas jual sila nikmat buku museum pandang note transjakarta henti balaikota telah tinggal menyebrang,4 bulan lalu,2025-10-21,negative
17,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Dantha Arianvasya,5,suka pustaka dlaam kantin masjid dsb behh gila bagus bngtt tidak perlu lantai pling monas turut yahh pustaka lihat jkt tinggi,2 bulan lalu,2025-10-21,neutral
18,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,mardia ningsih,5,rooftopnya perpusnas sisi pandang langsung monas gambir mesjid istiqlal gedung pesona indonesia muara angke sore sisi gedung sarinah mesjid menteri bumn gedung mnc pintas jalan thamrin jam duduk rooftop kerja seru suka kali masuk saji pandang globe putar mesin buku perpusnas nyaman kerja ngerjain skripsi dar baca buku wifi lumayan lambat oiaa ngasih saran urus gedung perpusnas cahaya toilet lantai tolong tambah toilet lantai beda cahaya remang remang nuansa seram tolong toilet perempuan sedia tisu tempat tisu kosong moga masuk baca ditindaklanjuti,5 bulan lalu,2025-10-21,neutral
19,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Rizki fakih,5,masuk sambut gedung adem tempat luas nyantai pustaka komplit isi banding pustaka kunjung bogor depok kunjung lantai rooftop bagus lihat monas area jakarta luas kesana,3 bulan lalu,2025-10-21,neutral
20,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Dessy Anggraeny,5,daerah deket monas stasiun gambir kali kesana langsung bangun isi museum informatif tambah ilmu tahu masuk gedung tingkat nitipin tas nitip ktp sana kasih nomor kartu gedung milik lantai lift terang guna ruang lantai kali bingung lift lantai duduk pajamgan buku lemari buku susun lantai registrasi kartu anggota kesini anggota daftar daring langsung kesana tinggal dftar daring tinggal foto sana cepat pagi lantai mushola lantai koleksi buku pajang balkon lihat view monas tinggi baca baca sana nyaman tenang ngerjain tugas skripsi,5 bulan lalu,2025-10-21,neutral
21,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Nanami Natsumi,5,tualang literasi kardio perpusnas teman niat suci kali unjung pustaka nasional cari ilmu konten dikit sangka wawas betis otot peluh juang masuk lantai dasar langsung sambut ramai manusia antri oke normal eskalator lantai suasana padat registrasi lantai eskalator bubar jalan ganti lift ngantrinya beli tiket konser coldplay lantai jaga titip tas ngasih kode bawa minum lihat lihat plot twist tragedi malas antri lift isi sarden rombong masuk tangga darurat tau boleh nunggu antri lift kali kesana ngikut fyi mula nunggu lift pensiun tangga darurat stamina mental kuat iman teguh lucu lantai tugas tanggal agustus lift henti lantai lantai info telat yasudah lantai tangga darurat puluh tangga darurat haus nyesel bawa air keringetan habis lomba panjat pinang bonus papas unjung tangga darurat ehm aroma sungguh diversity humanity konten dikit semangat lantai foto bidik abadi jujur lelah bayar lunas nyampe lantai pandang cakep gedung gedung jakarta liat duduk santai sok mikir ngatur nafas istirahat bentar simpul koleksi buku titik foto jalur cocok latih hiking minus lift eskalator sahabat unjung awam jalur saran tolong kasih papan tunjuk jalur alternatif via tangga darurat info lift henti lantai korban tangga overall worth ilmu konten dikit kardio gratis terima kasih perpusnas bawa air beli kantin lantai mental,2 bulan lalu,2025-10-21,negative
22,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Yuniar Fazriani,5,ruang baca khusus view monas cocok unjung fokus baca sayang lift penuh turun tangga emergency,3 bulan lalu,2025-10-21,negative
23,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Aisyah Rahma Nadia,5,ruang nyaman wifi bagus charger meja baca lantai lantai favorit koleksi kait indonesia bagus bagus oiya lupa lihat pandang monas hampar kota jakarta lantai,sebulan lalu,2025-10-21,neutral
24,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Muhammad Hakim Al Fiqqi,5,alam pustaka nasional indonesia megah maju masuk pus mudah wajib kartu pus lantai tawar pandang bagus jakarta monas bisnis kota jakarta,3 bulan lalu,2025-10-21,neutral
25,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Syifa Adhilah,5,jujur suka buku sejarah ilmiah fiksi non fiksi baca ruang sedia oke sayang kantin baik habis nugas cari makan pus kesini turun halte balai kota langsung nyampe,4 bulan lalu,2025-10-21,negative
26,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Maariyah Utri,1,layan anggota payah tugas arah ambil nomor antri patut orang paham sistem laku perpusnas catat dalam web daftar nik input nik urus umur input nik orang tua paham atur antri jam gilir panggil urus tolak tugas alas sistem ubah nik ngurus diinput antri kasar tugas diri mesin cetak antriaannnnn kesal payah layan buang antri lambat beda pustaka cikini tugas bantu unjung bingung perlu langsung arah pustaka skala nasional kalah pustaka tingkat kota provinsi lantai antri lift penuh orang sengaja lantai lift turun atas lantai bagi lift gimana perpusnas layan jelek anak ngajak kesini mending pustaka cikini nyaman,2 bulan lalu,2025-10-21,negative
27,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,BILAL MARDI GUNAWAN,1,akses lantai sulit pakai lift lift operasi lift ramah unjung kala akhir pekan eskalator mentok lantai hadeeeeehhh,3 hari lalu,2025-10-21,neutral
28,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Petalmochi,5,pustaka modern nyaman lihat madang monas lantai luas lift pada banding gedung sabar unjung bareng teman kartu fisik anggota ipusnas koleksi buku buku lihat moga ambil kartu kartu langsung januari update laku kartu fisik efisiensi daftar akun langsung daring akses webnya,Diedit 3 bulan lalu,2025-10-21,neutral
29,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Adhiz Buana,4,tingkat cerdas fasilitas lengkap lantai lantai anak zaman rugi manfaat fasilitas tingkat cerdas tambah wawas lokasi jantung kota jakarta jangkau sudut kota angkut trans jakarta cinta buku puas betah tinggal cari referensi literasi tingkat tahu,5 bulan lalu,2025-10-21,neutral
30,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Dina Ameilia,4,pus luas buku variasi sempet coba lantai bagus kursi lift ramai unjung,Diedit 3 bulan lalu,2025-10-21,negative
31,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Suwandi Al Adzharry,5,ragu infrastruktur fasilitas bagus ruang duduk baca laptop prosedur daftar member gampang langsung pinjam buku,sebulan lalu,2025-10-21,negative
32,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,bukulakutokobuku,5,lantai arena anak lumayan luas koleksi buku buku buku cerita buku islami ensiklopedia buku aktivitas tas barang bawa titip lantai tempat bersih nyaman adem meja kursi baca leseh moga koleksi,3 bulan lalu,2025-10-21,neutral
33,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Raid Azhar Romadhan,5,pustaka tinggi dunia fasilitas lengkap lengkap ruang rapat dsb pokok lengkap layan mantapss pamer cocok baca buku kerja wfh hibur dsb pokok pus indonesia mantapssss lahhhhh baik,4 bulan lalu,2025-10-21,negative
34,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,el. maruf77,5,seru perpusnas koleksi buku akses parkir motor mobil tinggal masuk pejal kaki lurus motor mobil lurus kanan ngarahin baca baca sholat masjid mai foto rooftop enak poko baca kartu anggota pinjam kartu,3 bulan lalu,2025-10-21,neutral
35,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,LUKMAN BUDI PURWANTO,5,salah destinasi libur anak tarik kunjung ibukota jakarta salah titik ngadem pandang kota jakarta fasilitas ngkap gratis parkir gratis,3 bulan lalu,2025-10-21,neutral
36,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Hello Susie,5,tempat nyaman enak baca buku lantai fasilitas bagus lengkap suka minus kesini libur lift antri,5 bulan lalu,2025-10-21,negative
37,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Dexter,5,kesini tanggal oktober rabu jelang ingat tni tentara gladi resik siap acara minggu tanggal oktober tonton gratis kibar bendera tugu monas terjun payung helikopter dentum meriam seru,2 minggu lalu,2025-10-21,negative
38,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Patria Marani Fatar,5,pustaka lantai lantai lihat pict mudah akses transum letak hadap monas sejarah buka jam kadang jam suruh pulang ajar wfc laptop kantin ajar pakai komputer ruang multimedia pagi cepat penuh buat kartu keanggotannya cepat kuota orang kartu masuk aman wifi lancar nyaman tenang anak geografi lihat peta lawas lucu,7 bulan lalu,2025-10-21,negative
39,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Dini Nurfitriani,1,coba coba bawa anak kesini fasilitas ramah anak disabilitas alam bawa anak usia kesini sungguh bahaya ruang anak disabilitas lantai kondisnya lift penuh orang dewasa tentusaja kalah tunggu lift lift eskalator lantai tangga lantai tau bawa anak eskalator fokus kaki anak jepit pustaka daerah hahahahaha,3 bulan lalu,2025-10-21,negative
40,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Nugie Isra,5,ajak anak main lift aktif antri tangga darurat lantai aktf lift,3 minggu lalu,2025-10-21,negative
41,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,ann megaran,5,minus lift suka lantai rooftopnya,3 bulan lalu,2025-10-21,negative
42,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Lucia A.,3,gedung adem enak santai chill baca buku rooftop view monas lantai minus lift minim space lift golong luas nampung orang gedung puluh lantai publik place dkunjungi orang ratus ribu manusia tampung liftnyaaa luassss,8 bulan lalu,2025-10-21,neutral
43,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Faris Iqbal Maulana Susanto,4,takjub nyangka pus gede nyaman ajar akses makan batas turut kantin worth harga lumayan pricey anak kos seperti tambah wifi jalan lift antri mobilitas,4 bulan lalu,2025-10-21,negative
44,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Louist Yan,5,pustaka nasional lokasi seberang halte balaikota layan kartu pus lumayan registrasi bbrpa proses bya luas nyaman,2 bulan lalu,2025-10-21,neutral
45,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Yuyun Fadilah,5,orang who grew desa turut perpusnas surga lebay ngelakuin baca pinjam buku tempat nyaman kerja nugas print maksimal lembar komputer pakai kerja nugas dar ajar pakai jam sore santai ruang adem wifi tempat family friendly ruang khusus anak anak lansia refill air minum kantin simple warung koperasi mini indomaret mushola nikmat pamer seni balkon toilet bersih fasilitas auditorium ruang rapat mini theater dsb lantai gratis akses gampang lokasi kota seberang monas mudah jangkau angkut barang bawa kartu identitas ktp kartu ajar tumbler refill air langkah langkah lantai titip barang tinggal masukin barang tas sedia serah kartu identitas lantai daftar anggota isi data foto pakai kartu daring tinggal screenshot bebas pakai fasilitas perpusnas pakai komputer langsung lantai tugas info fasilitas lantai lihat video pokok lengkap cocok orang,5 bulan lalu,2025-10-21,negative
46,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Ngambis Skuyyy,5,pustaka nyaman buku lengkap wifi kenceng vibes tenang cocok nugas sam baca buku lantai viewnya cakep langsung monas,2 bulan lalu,2025-10-21,neutral
47,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Muslim Budiman,5,salah tuju libur jakarta jenis butuh tahu lantai lantai monas,3 bulan lalu,2025-10-21,negative
48,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Marlianingsih Rosidah,3,jujur sebenernya kapok kesini akhir pekan rame turun akses lift sulit penuh lantai lift ciri khas orang indonesia senang nyerobot sabar orang lift susah orang masuk silah nyoba kesini akhir pekan,5 bulan lalu,2025-10-21,neutral
49,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Teguh Priyatno,5,ciputat kesini mudah angkut gedung liat umur baik fasilitas lengkap kantin masjid,2 bulan lalu,2025-10-21,negative
50,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Fizar Maulana,5,alhamdulilah tempat enak area luas lantai enak pokok jaga ramah,3 bulan lalu,2025-10-21,negative
51,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Irsyad Abdul Basit,4,bagus sayang lift baik,2 bulan lalu,2025-10-21,negative
52,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Mear Vic,1,pus jam tutup tutup jam jam gabisa lift crowded parah menit nunggu lift eskalator sisa turun tangga bos bawa anak turun lantai kesini benah pus daerah jam tutup nasional jam,3 bulan lalu,2025-10-21,negative
53,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Zhanto Moyzrano,5,hidden gem tengah kota fokus tenang gratis cozy kesini gratis opsional daftar member pinjam buku benefit cari tenang ide ide fokus ajar kuliah kerja nitip barang lantai bawa barang tas plastik sedia nitip barang kasih nomor jamin sim ktp kartu ajar nitip pasti bawa tas lantai daftar member kantin lantai cafe lantai barang tinggal apa minjam ruang meeting silah saptam tugas selamat datang bantu sungkan parkir gratis kasih tip opsional motor mobil pasti bawa stnk modal parkir lebih kunjung lihat city view jakarta monas mohon jaga suasana kondusif lift ingat harap antri tugas pertahanankan layan terimakasih bantu unjung sungkan,8 bulan lalu,2025-10-21,neutral
54,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Alfatih World,5,nyaman anak main ajar baca buku kenal sejarah presiden foto karya buku,Diedit 2 bulan lalu,2025-10-21,neutral
55,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Andi Kurniawan,5,tempat bersih koleksi tambah wawas unjung layan ramah gratis akses masuk,3 bulan lalu,2025-10-21,neutral
56,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Khoirul Basyar,3,senenarnya ngasih bintang eskalator lantai lift penuh tangga darurat lantai wifinya kenceng terimakasih,3 bulan lalu,2025-10-21,neutral
57,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Rini Nurinay,5,nyaman enak eskalator lantai lantai duduk kantin view monas ruang baca anak buku bagus minus lift penuh nunggu turun tangga darurat,9 bulan lalu,2025-10-21,negative
58,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,R. Adha PW,5,pustaka besar indonesia letak jantung kota jakarta pustaka luas fasilitas lengkap koleksi buku lengkap baca nyaman,sebulan lalu,2025-10-21,neutral
59,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Zahra Khairani,5,akses transportasi mudah tempat bersih nyaman koleksi mushalla bersih nyaman kamar mandi sedia lantai bersih kantin akhir pekan situasi ramai butuh sabar ekstra tunggu lift lantai lantai mana baca akses eskalator lantai lebih akses lift makan kantin pilih kursi duduk batas tunggu kursi kosong gabung orang meja,setahun lalu,2025-10-21,neutral
60,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Wanuzulan Indonesia,5,fakta unik pustaka nasional republik indonesia perpusnas gedung pustaka tinggi dunia gedung perpusnas jalan medan merdeka selatan jakarta milik lantai gedung pustaka tinggi dunia resmi koleksi juta hitam perpusnas simpan juta koleksi buku manuskrip kuno foto peta majalah karya rekam simpan naskah kuno langka perpusnas simpan naskah kuno wilayah indonesia bahasa arab melayu jawa bal bugis layan digital akses internasional perpusnas sedia akses journal buku internasional platform digital ipusnas khastara arsip naskah kuno digital gratis fasilitas layan perpusnas anggota akses buku internet gratis lantai khusus anak anak sedia area ramah anak buku main edukatif ruang dongeng lantai dorong minat baca sertifikasi iso perpusnas milik sertifikat manajemen mutu internasional layan publik tanda standar layan,5 bulan lalu,2025-10-21,neutral
61,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Dwi SW,5,bagus rapi pustaka kendala lift antri makan kasihan bawa anak tunggu acnya asa gratis buat kartu pustaka stok batas lantai cocok titik foto ambil pandang bangun monas,9 bulan lalu,2025-10-21,negative
62,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,TRI handayani,5,masuk tugas ramah sigap ruang rapi bagus lantai sedia tanda tanda informatif toilet sampah mushola lantai indah monas lantai buku baca anak tugas ramah gedung bersih sabtu minggu buka kembali buku mandiri step step mudah ikut detai cafe museum masjid lantai mushola lantai lantai,7 bulan lalu,2025-10-21,negative
63,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Lia Marliana,5,from ipusnas perpusnas kali kesini tas nitip loker barang bawa pakai totebag bening bawa minum lantai sedia kantin lantai section dalam antri lift koleksi buku variasi lihat pandang monas tinggi,2 minggu lalu,2025-10-21,neutral
64,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Diani Suci K,5,favorit zaman kuliah nyari referensi tugas kesini baca baca buku ringan lantai sebenernya lantai baca dikunjungin lantai sana koleksi buku mushola kantin lantai moga fasilitas jaga bagus amin sekian perpusnas maju loket loket titip tas tugas tertib efisien tambah meja resepsionis pindah barang barang tas transparant mudah kantin sayang kantin daerah pus letak kadang pus pusing lapar bingung makan bekal depan kantin luas ajar serap ilmu fokus mushola mushola tiap lantai favorit masjid terima kasih sukses perpusnas,Diedit 2 bulan lalu,2025-10-21,neutral
65,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,ᴀ ʟ,5,tempat adem colok cocok habis jalan istirahat sebentar disni minus lift penuh,4 bulan lalu,2025-10-21,negative
66,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Nadia Puspa Sari,5,tiga kali perpusnas milik kartu anggota nulis alam akses transportasi mudah akses turun halte balaikota krl turun gondangdia jalan kurleb menit pamer ruang tulis baca gedung utama lantai koleksi buku baca komik novel lantai baca tugas titik foto suka orang balkon lihat monas moga kesini rumah deket,11 bulan lalu,2025-10-21,neutral
67,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Rayhan Firabbi,3,lift rame nunggu daftar anggota orang hari daftar lantai kumpul view bagus baca buku gratis,setahun lalu,2025-10-21,negative
68,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Rakhmidianarrafi Nuhwan,5,kali kunjung pustaka nasional lumayan crowded akhir pekan lokasi strategis akses kendara jalan kaki stasiun gondangdia worth suka jalan kaki posisi monas alternatif main perpusnas lantai loker titip penuh tau efisien penuh unjung ijinkan bawa tas lantai akses eskalator lebih akses lift sayang lift seringkali penuh far good saran kartu anggota akses gratis koleksi mancanegara lantai masuk tinggal kartu anggota koleksi bebas baca lantai lantai koleksi fiksi turut cari koleksi agama lantai lantai balkon capture pandang monas sayang pintu arah pandang kemarin tutup bagi sisi lumayan worth area khusus mushola kantin sabar rame nunggu gilir masuk lift cobain mampir kesini niat seasik ketemu koleksi buku buku cheers,setahun lalu,2025-10-21,neutral
69,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Aries Arya Putra,5,nyaman baca suasana hening layan bagus tugas tas bawa kena,2 bulan lalu,2025-10-21,negative
70,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Rusdy S. Nugraha,5,gedung fungsi museum sejarah literasi indonesia zaman palawa merdeka gedung lantai lantai rooftop pandang monas akses pakai eskalator sisa pakai lift penuh naudzubillah kantin lantai baca lantai akhir pekan titip tas penuh boleh bawa baca saran kelola tolong buat akses lift lantai lift penuh ramah hamil lansia serobot patut apresiasi masuk kesini parkir gratis,setahun lalu,2025-10-21,negative
71,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Angelyn Sasa,5,salah nyaman ibukota jakarta perpusnas tmot wajib kunjung gratis msuknya jga dkt sma transjakarta wifian dsni baca buku dsni main komputer dsni pkoknya enak guyss jgan lupa kunjung,3 bulan lalu,2025-10-21,neutral
72,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Amir Fiqih,5,pustaka tinggi indonesia gedung ilmu koleksi buku bagai lantai gedung kena biaya masuk adem nyaman bangku sofa unjung lift sedia rooftop lihat pandang jakarta plang tanda ruang gedung tembok lift unjung ngira lantai informasi nama ruang lift tks,9 bulan lalu,2025-10-21,neutral
73,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Muhammad Iqbal,5,kali perpusnas pukau layan suasana tuju tugas kuliah lantai sambut meja suasana tenang dukung konsentrasi sayang coba koleksi buku kali coba musholla lantai bagus luas bersih dos perhati lift lift lantai lift ganti tunggu lift kantin kursi meja jual sabtu jenis makan habis pesan timbang tambah tenant makan,sebulan lalu,2025-10-21,neutral
