username,rating,review_text,relative_date,review_date
Fajrin,5.0,"Perpus Jatim Mantap 👍 datang ke sini untuk nyumbangin buku, dianter satpam ke layanan informasi. Petugasnya lalu menghubungi yg bertanggung jawab. Kemudian diurua untuk hibah bukunya ke perpustakaan …",setahun lalu,2025-10-21
Diva Shafira Artanti,5.0,"Booking peminjaman buku bisa secara online dan pengambilannya bisa secara Drive thru, lingkungan sekitarnya luas dan parkir gratis terdapat gazebo juga minimarket serta penjual lontong balap dan es degan di dekatnya",2 tahun lalu,2025-10-21
Rahma Runindaru,4.0,"Tempat yang nyaman untuk baca dan nugas. Banyak sekali perkembangan yang terjadi setelah pandemi. Meski sekarang tutupnya lebih siang daripada dulu dan hari Sabtu tidak buka lagi. Masih ada layanan drive thru. Ada pula kelas bahasa Inggris untuk anak-anak dan dewasa. Aksesibilitas untuk para difabel sudah sangat menunjang. Mulai dari pintu masuk, tempat parkir, ruang tunggu prioritas, toilet, hingga musala. Toilet bersih dan wangi.",Diedit 2 tahun lalu,2025-10-21
PAMAN GOBER,5.0,"Pelayanan Baik & Cepat
Tempat Nyaman & Bersih
Parkir Gratis & Menunjukkan STNK
👍🏿 …",7 bulan lalu,2025-10-21
reno,5.0,"Just info sekarang perpusnya buka sampai jam 19.30😍, makasi admin disperpusip jatim sudah mengabulkan keluhan kami dari dulu wkwk …",sebulan lalu,2025-10-21
El M,5.0,"Tempat buat cari refrensi yg cocok buat kalian. Khususnya pelajar.

Pelayanan ramah... tempat bersih dengan parkiran yg luas dan gratis lagi.

Di dalam kalian akan dimanjakan dengan banyak sekali buku2 bacaan. Mulai dari pendidikan, ekonomi, kesehatan hingga fiksi.

Untuk mencari buku yg kalian butuhkan, kalian tinggal cari saja pada komputer yg telah disediakan. Di sana, kita akan menemukan rak buku nomor berapa yg akan kita cari.

Untuk peminjaman, kalian bisa membuat kartu anggotanya. Gratis. Hanya dengan bermodalkan KTP saja. Kita tinggal bikin sendiri dengan menggunakan komputer yg telah di sediakan. Oh iya... ada fasilitas WIFI nya gan. Jadi, kalian gak usah khawatir. Bawa laptop, cari buku, duduk dan kerjain dah tuh tugas. Sambil dengerin list lagu di youtube kalian. Dijamin nyaman. Ruangan berAc low.

O iya.. batas peminjaman hanya sampai 2 minggu saja. Dan itu hanya dibatasi dengan dua buku saja. Jadi, buat kalian yg ada di luar kota, saya saranin bawa laptop atau buku catatan ya. Karena, dijamin kalian akan bingung mau bawa buku mana yg akan dipinjam. 😂",5 tahun lalu,2025-10-21
Tirza,5.0,"Bangunan terpisah untuk area anak. Satpam dan petugas ramah. Buku-buku banyak, ada komik, ada juga board book dan beberapa maninan. Kebersihan terjaga dengan baik, waktu ikut datang hari sabtu dan jadi pengunjung kedua. Ada playground outdoor dan indoor. Toilet juga bersih. Mantap. Semoga yg menggunakan juga bsa ikut menjaga fasilitas yg ada. Semoga kedepannya minggu bsa buka juga 🙏",setahun lalu,2025-10-21
Yohana Tri Wulandari,5.0,"Tempatnya nyaman untuk belajar dengan fasilitas yang baik (ruangan ber AC, buku yang lengkap dan tersusun rapi) serta staf nya yang ramah.",setahun lalu,2025-10-21
Rizkika Madya Putri,5.0,"Ruangan perpus nyaman, ada fasilitas searching buku, melayani peminjaman buku, kalau ingin meminjam harus bikin kartu anggota, cara bikin kartu anggota perpus sangat mudah dan gratis (bisa minta tolong doarahkan petugas) , untuk calon anggota yang belum punya KTP bisa membawa Kartu Keluarga saat pendaftaran, penyetakan kartu anggota sehari langsung jadi.
Terdapat Loker untuk penitipan tas.
Saat berkunjung ke perpus wajib memakai baju yang sopan dan rapi.
Perpus tutup hingga jam 6 sore.
Terdapat wifi di dalam ruangan.
Parkir Luas dan Gratis.",6 tahun lalu,2025-10-21
Dian Purwanti,5.0,"Ada ruang anak ,ruang laktasi ,kamar mandi super bersih ,pegawai ramah , mushola....",10 bulan lalu,2025-10-21
Putri Avystina,4.0,"Suka bangett tempatnya, nyaman, banyak oramg tp ga rame, tertib👍 tapi sayang, buku2nya cm yg umum2 aja. Ga terlalu yg spesifik bgt. Kalau untuk skripsi masih bisa kesini, tp ada buku yg kurang spesifik mengenai teori2nya, dan penyusunan rak yg msh kurang bisa dipahami pembaca. Ada jg rak yg gak ada tulisan nomornya. Jdi membuat bingung pembaca ketika mau mencari buku. Nyaman, tp kurang homey. Bagus deh msh ada perpustakaan yg spt ini drpd nggak sama sekali 😂 lokernya ada yg kunci ato pintunya nyandet jdi susah dibuka/ditutup. Ruang lobbynya nyaman kok. Enak sih baca buku dsni",6 tahun lalu,2025-10-21
Aninda Citra,4.0,"Perpustakaannya luas, banyak banget rak beserta bukunya yang disusun sesuai kategori. Disediakan ruang baca yang juga ada stopkontak dan wifi. Jadi bisa kerjain tugas disana. Ruangannya nyaman dan adem. Disini juga menyediakan komputer untuk pencarian katalog buku. Jadi kalo kesulitan cari bukunya bisa lihat di komputer dulu buku tsb tersedia/tidak dan ditempatkan di rak nomer berapa. Oiya sblm masuk diminta untuk menitipkan tas&jaket kalian dulu ya. Ada lokernya",6 tahun lalu,2025-10-21
Zulfian Febriansyah,5.0,"Tempatnya nyaman, koleksi bukunya banyak, Wifi-nya juga kencang hahaha mantab benget deh pokonyaaa🥰 …",2 bulan lalu,2025-10-21
suci sekarum,4.0,"Pelayanan ada beberapa yang tidak ramah.
Buku lumayan lengkap cocok untuk cari beberapa referensi. Nyaman disidiakan banyak tempat charger. Disediakan loker juga.
Minimal peminjaman 2 buku dan gratis",5 tahun lalu,2025-10-21
Mumpuni Dwi Puspitasari,5.0,"Recommended buat yang ingin stay sekedar ngadem baca buku atau nugas disini. AC dingin, wifi lancar, banyak tempat duduk dan colokan di setiap mejanya👍🏻 …",5 bulan lalu,2025-10-21
Ricky Dharmawan,3.0,"internetnya lemot dan sangat tidak stabil, untuk tempatnya sendiri sudah cukup bagus dan enak untuk membaca dan beraktivitas",sebulan lalu,2025-10-21
Hendy Arif,4.0,Tempat yang cukup lengkap untuk mencari jurnal dan buku bacaan lainnya. Lokasinya mudah ditempuh dengan transporasi umum. Dekat dengan STIESIA dan apartemen Gunawangsa Manyar. Suasana di dalam perpustakaan ini cukup nyaman dan sejuk. Sehingga membuat pengunjung lebih betah menghabiskan waktu. Koleksi buku tertata rapi.,7 tahun lalu,2025-10-21
Peter Adi Saputro,3.0,Saat ini perpustakaan hanya buka dari Senin sampai Sabtu mulai jam 08.30 - 15.30 WIB. Tampaknya cukup banyak staf baru yang masih muda sehingga layanan kurang maksimal. Sempat terjadi kebocoran bangunan yang menimpa beberapa rak buku.,Diedit 2 bulan lalu,2025-10-21
Taniyaa Uyee,5.0,Seneng banget karna bukunya lengkap banget😘😘😘 cari buku sejarah yg uda ga terbit lagi ada di perpustakaan ini. Semoga tetep eksis terus. Pemkot Surabaya jos …,8 tahun lalu,2025-10-21
aliffian syach fian,4.0,"tempat nyaman, info terbaru perpustakaan buka sampai pukul 19.30 wib",2 minggu lalu,2025-10-21
Ika Puji Astutik,5.0,"Dari sekolah sampai saat ini masih suka banget kesini. Suasana nyaman, tenang, koleksi bukunya banyak dan semua serba GRATIS 😁. Bagi kalian yang pengen cari jurnal, majalah, ataupun koran bisa cari disini juga (lantai 2). …",8 tahun lalu,2025-10-21
Muza,5.0,"Kalian gak usah binggung. Perpustakaan Jatim tetap melakukan pelayanan pinjaman buku kok sekalipun daring 😍🔥

Semangat terus memupuk literasi",5 tahun lalu,2025-10-21
SHK Group,5.0,"Tempatnya enak sekali banyak buku-buku di sini Bagi yang mau cari referensi buku yang datang ke sini di Manyar perpustakaan jadi gini lho kenapa bukunya banyak sekali recommended banget buat kesini, buat kalangan tua muda bisa semua",6 tahun lalu,2025-10-21
Daniel Andrian,5.0,"salah satu perpustakaan yang ada di kota Surabaya. koleksi buku, ensiklopedia dan beragam referensi cukup lengkap. bersih, nyaman, dilengkapi dengan pendingin ruangan/AC dan memiliki parkir luas. terdapat ruang baca khusus anak. dekat dengan kampus STIESIA, UNITOMO dan UNTAG",Diedit 7 tahun lalu,2025-10-21
Galisyst,5.0,"Tempat Bersih, Setiap Tempat Selalu Diberi Aturan Yang Berlaku Khususnya Di Meja, Buku-Buku Tertata Rapi Di Rak, Pelayanan Ramah dan Prosedur Saat Masuk Ke Dalam Perpustakaan Diarahkan Dengan Baik Kepada Para Pengunjung",7 tahun lalu,2025-10-21
Nauval Karim,5.0,Para petugas sangat membantu. Jangan segan untuk bertanya. Petugas seharusnya tegas menegur pengunjung yang berisik. Koleksi yang bersifat akademis sudah banyak yang terlalu tua untuk dijadikan referensi.,5 tahun lalu,2025-10-21
Dicky Sugik,5.0,Makin enak ada co working space... tempat nugas ter enak pas jaman kuliah.. cuma gaada kantin aja sih,2 tahun lalu,2025-10-21
Mukminun Muhtadi,5.0,Sangat nyaman. Betah sekali membaca dan belajar berlama-lama di sini. Tidak membosankan meski bolak-balik berkunjung ke sini.,6 tahun lalu,2025-10-21
Galih Pranata Ari,5.0,"Tempat perpustakaan yang lengkap dengan koleksi bukunya. Dimana tempat yang nyaman dan tenang membuat suasana belajar menjadi maksimal. Terlebih fasilitas pendukung lainnya seperti parkir gratis, ruang berAC, pelayanan yg ramah, dan juga koleksi yang banyak

Rekomen buat yang ingin belajar dan mencari sumber buku untuk keperluan pembelajaran dan penelitian",7 tahun lalu,2025-10-21
Andrianto Cahyono Putro,4.0,"Tempatnya bagus, koleksi buku lumayan lengkap. namun agak dibersihkan lagi menyeluruh tempatnya",6 tahun lalu,2025-10-21
Fathur Rohman,5.0,"Perpustakaan kota yg nyaman, banyak koleksi buku sgala usia. boleh pinjam apa aja majalah juga ada tinggal serahkan KTP LOKAL /Luar surabaya juga dilayani, ruang baca sangat nyaman dan akomodativ. fasilitas pencarian katalog buku-buku sudah dipermudah dengan search engine online. parkir lumayan luas. toilet cukup bersih. ramah anak- anak. love this place, because I am kind of nerd.",Diedit 7 tahun lalu,2025-10-21
elynna ayu,4.0,"Pelayanannya baik,ramah dan cepat. Koleksi buku juga sangat lengkap tapi terkadang kurang rapi dalam penataan kode atau nomor rak. Sehingga kadang susah untuk mencari sesuai dengan kode",setahun lalu,2025-10-21
Nanindr,5.0,"perpusnya bagus dan modern. trims bu tita, pak arief, duta baca jatik kak sasa atas hari ini ❤️",4 bulan lalu,2025-10-21
Radhita Amalia,5.0,Tempat nya bagus bgt tapi syng buka nya GK sampe malem,3 minggu lalu,2025-10-21
FAJAR PRATAMA,5.0,"sumpah bagus banget, tempatnya nyaman di jamin enak buat baca buku",4 bulan lalu,2025-10-21
Umrotul Syaidah,5.0,"Perpustakaan dengan banyak fasilitas.
Salah satunya yang saya sukai adalah fasilitas drive thru, ya memang harus turun dari kendaraan dan memarkirkannya.
Tapi setidaknya kita tidak perlu masuk ke dalam untuk mengembalikan buku.

Koleksinya banyak dan lengkap.",3 tahun lalu,2025-10-21
khusnul nur khomariyah,5.0,"Sejak dulu masih sama. Rapi, bersih, fasilitas yang memadai juga membuat pengunjung sangat nyaman buat datang ke sini.",2 tahun lalu,2025-10-21
Rendy Ariyanto,3.0,"Dinas perpustakaan dan arsip provinsi jawa timur. Koleksi bukunya banyak. Terbuka untuk umum. Lokasi dekat kampus Stiesia dan apartemen Gunawangsa Manyar. Dekat juga dengan beberapa kampus, di antaranya UNTAG dan Unitomo.",6 tahun lalu,2025-10-21
Elva Widi,5.0,"Perpustakaan milik Provinsi Jawa Timur yang diperuntukkan bagi masyarakat Jawa Timur. Menjadi anggota dan peminjaman bukunya gratis dengan syarat adalah masyarakat Jawa Timur berusia 17 tahun, membawa KTP. Disediakan buku anak"" juga.",6 tahun lalu,2025-10-21
Efi Wulandari,5.0,Sangat nyaman dan modern tidak bau kaos kaki tertib. Wifi laju,8 tahun lalu,2025-10-21
Adlina Mazaya,5.0,"Area buku anak sangat nyaman. Adem, disediakan mainan dan buku2 anak, juga prosotan, mandi bola, dilengkapi ruang laktasi juga.",7 bulan lalu,2025-10-21
San hadi,1.0,"Tdk habis fikir, perpustakkan sekelas provinsi tp kamar mandinya cuma 1 itupun kamar mandi difabel, uda gt kamar mandinya becek gini gmn kalo ada yg kepereset tolong lah ini kamar mandi untuk difabel saharusny dibuat kering karena bahaya, licin mana guiding block tempelannya lepas makin bikin licin, sekarang juga musim hujan tdk disediakan payung di lobby, kemarin ada ibu2 menggunakan kursi roda yang kehujanan waktu menaiki mobil grab.",10 bulan lalu,2025-10-21
yayuk nur,3.0,"Kemaren waktu sholat duhur bingung nyari musholany sebelah mana, hampir aja sholat di mushola khusus difabel krn gaada penunjuk arah ke musholanya, untungnya dikasi tau anak magang kalo ada musholany sendiri di belakang lumayan lah... Aku liat mushola difabel terlalu sempit gaakan muat untuk 3 pengguna kursi roda dan untuk difabel juga aku liat tdk dikasi loker khusus untuk penyimpanan barang",10 bulan lalu,2025-10-21
Ai Shanty,5.0,Tempatnya nyaman banget dan koleksi buku²nya lumayan lengkap,3 tahun lalu,2025-10-21
Ingesti Shailina,4.0,"Tempatnya nyaman, bukunya cukup lengkap, parkirnya juga gratis, wifi kadang sinyalnya suka hilang",6 tahun lalu,2025-10-21
Rizky Wibowo,1.0,"Tolong perbaiki lagi attitude satpamnya biar lebih sopan dan ramah, saya datang ke sini bukan buat mencuri.

Saya mahasiswa dari Jogja, yang datang ke Surabaya dalam waktu terbatas buat mengerjakan skripsi. Satu minggu sebelum kesini, saya sudah kirim surat melalui email terkait pencarian arsip. Saat datang pada tanggal 20 Maret 2024 kemarin, alhamdulillah disambut baik oleh petugas-petugasnya, dan dicarikan arsip yang saya butuhkan meskipun ruangannya sedang direnovasi. Bapak dan Ibu pegawainya ramah dan komunikatif.

Saat saya keluar, wajar apabila saya berinisiatif mengambil potret halaman dan pintu masuk sebagai dokumentasi. Namun satpam2nya tiba2 memanggil saya dengan nada yang kurang mengenakkan, lalu menginterogasi saya. Saya dicurigai sebagai jurnalis yang ilegal, dan foto2 saya berpotensi dipakai untuk menjelek-jelekkan instansi. Saya tunjukkan surat izin, kartu mahasiswa dan KTP saya, namun tetap dipersulit, sehingga saya harus datang langsung ke ibu2 petugas di belakang.

Kalau memang harus menegur pengunjung, bisa secara baik2 kan? Kenapa takut direview jelek oleh jurnalis? Apa takut kalo ketahuan bahwa pelayanan satpamnya buruk?",setahun lalu,2025-10-21
Faizal Faizal,5.0,"Pelayanan cepat, koleksi buku banyak, tempat dingin dan nyaman.

Sangat baik sekali untuk semua kalangan yang ingin membaca dan menambah ilmu pengetahuan",8 tahun lalu,2025-10-21
Anggia Rahmadini,5.0,"Wifi, musholla ✔
Isi daftar tamu di komputer --> sewa loker jaminan ktp/ktm --> find the book u want.
Lantai 2 utk buku2 daerah Indonesia.",7 tahun lalu,2025-10-21
Cahyo Purwanto,5.0,"Tempat pelayanan publik bagi pegiat Literasi yang nyaman,,modern,,free wifi,,,koleksi buku yang lama dan baru selalu ada...ruangan ber-AC,,,petugas yang smart and ramah,,musholla juga ada,,,tempat parkir yang luas,,,jadi buat tmend2 yang haus informasi...datang dan kunjungi Dinas Perpustakaan dan Kearsipan Prov. Jatim....SALAM LITERASI",Diedit 6 tahun lalu,2025-10-21
M Alfiyan Syamsuddin (alfiyansys),5.0,"Koleksinya lengkap, mulai dari buku sampai majalah. Ada wifinya juga, jadi cocok untuk tempat singgah para mahasiswa untuk belajar.",7 tahun lalu,2025-10-21
winata arif,5.0,Perpustakaan yg paling lengkap di jawa timur kami sangat menghargai pemerintah yang hendak melakukan renovasi perpustakaan agar lebih modern lebih indah dan lebih nyaman sukses selalu dinas atau instansi terkait 🙏 …,setahun lalu,2025-10-21
tiwwul,5.0,"Tempat luas, bersih, nyaman, free wifi, cocok untuk belajar atau mengerjakan tugas. Petugas sangat ramah dan mengarahkan pengunjung dengan baik.",setahun lalu,2025-10-21
mediana fatma,2.0,"waktu anak saya kemarin menggunakan komputer nvda di ruang baca disabilitas, komputernya ndak mendukung... anak saya jadi marah2...",7 bulan lalu,2025-10-21
ina floo,4.0,"Tempat luas dan nyaman, buku lumayan lengkap, pelayanan baik",7 tahun lalu,2025-10-21
Shanti Dewi,2.0,"Satpam nya banyak, tapi gak ada ramah""nya,, gak sopan pula kalau bicara

05/04/24 untuk pertama kalinya saya & tmn saya berkunjung ke perpus ini. Setelah masuk gerbang (yg tanpa palang pintu) kami mencari lokasi parkir motor, tapi Krn gak ditemukan maka kami putar balik.
Lalu kami disusul oleh seorang satpam yg memberi peringatan , dan kami pun sdh minta maaf klo salah arah dan satpam tersebut sdh mengiyakan dan menunjukkan ke arah yg sebenarnya.
Tapi disana kami disambut lagi dgn 3 satpam dgn nada kurang mengenakan, memperingati kami lagi. Dan kami pun sudah minta maaf kembali. Lalu salah satu diantara mereka bilang 'ada orang disini kok gak tanya dulu, main masuk aja' dgn nada menyindir.
Padahal waktu kami masuk , kami memang melihat 3 satpam tsb tapi sedang ngobrol, berbincang sendiri, sampai"" tidak sadar klo ada org lewat

Klo boleh saran, better dikasih palang pintu klo memang pengunjung dilarang langsung memasuki gerbang. Jadi bisa bertanya dulu melalui satpamnya.
Terimakasih.",setahun lalu,2025-10-21
Gabi Ceria,5.0,"Enak... cozyyy... internet lumayan... dingin, ac banyak, kamar mandi bersih, colokan di setiap meja",9 bulan lalu,2025-10-21
Hari Hattra,4.0,"Kenapa kok bukanya sabatas jam kerja??
Padahal masyrakat butuhnya kebanyakan sepulang sekolah dan sepulang kerja dan hr libur..
Seperti halnya perpunya pemkot minggu tetep buka..",11 bulan lalu,2025-10-21
Rizka Dwi,5.0,"Rangkaian Hari Kunjung Perpustakaan kembali hadir, siapakah pemustaka teraktif tahun ini? kamuuuu..ya kamuu 😍😍😍 …",Diedit setahun lalu,2025-10-21
andi mustofa,5.0,"Perpusda Jatim di Surabaya adalah surganya pengetahuan. Dengan koleksi buku yang kaya dan fasilitas modern, tempat ini menjadi oase bagi para pecinta literasi. Suasana tenang dan layanan yang ramah menciptakan lingkungan yang ideal untuk membaca dan belajar. Program acara dan kegiatan komunitas mendukung semangat literasi di kalangan warga. Perpusda Jatim, tidak hanya sebagai gudang pengetahuan, tapi juga pusat inspirasi bagi masyarakat Surabaya yang mencintai dunia literasi dan ilmu pengetahuan.",setahun lalu,2025-10-21
enggar alfianto,5.0,"Tempat nya nyaman untuk baca. Terdapat fasilitas khusus bagi difabel. Terdapat ruangan khusu untuk pengunjung anak-anak. Tersedia meja panjang dan juga meja privat. Terdapat wifi, sayang nya wifi tidak merata, di bagian belakang perpustakaan sinyal wifi lemah. Toilet bersih, konsep toilet nya kering, namun tidak disediakan tisu toilet.",2 tahun lalu,2025-10-21
billy wijaya,5.0,Tempat adem nyaman tenang pas banget buat cari refensi,8 tahun lalu,2025-10-21
Dhea Suppanad,1.0,Pak/bu mau berapa tahun lagi yaa ruang deposit di renovasi?? Tahun 2022 sy datang hendak membaca buku dan arsip yg memang cm ada di perpus jatim tapi tidak bisa dgn alasan di renov. Tahun 2023 bulan Agustus ini saya datang lagi tapi tetap tidak bisa dengan alasan di renovasi? Satu tahun renovasi?!! Sy liat secara langsung di ruang deposit hanya buku-buku ditutup plastik tp tidak ada sama sekali pengerjaan atau kegiatan renovasi seperti apa yang disampaikan. Katanya sudah menerima banyak kritik dan keluhan dari banyak pembaca yang membutuhkan buku dan arsip di ruang deposit? Tapi kok tidak ada solusi?? Lalu berapa tahun lagi renovasi di ruang deposit mangkrak??,2 tahun lalu,2025-10-21
Elisabeth D,2.0,"First impression buat perpus ini buat sy sangat buruk. Bukan karna perpus nya,tapi karena karyawan disana. Untuk bapak satpam tolong sikap lebih dijaga dan diperbaiki tutur kata dan sikapnya ya,belajarlah dari satpam bca yg selalu ramah🙏 …",setahun lalu,2025-10-21
Satrio Aji Sasongko,4.0,"jujur nyaman banget dan bikin betah kalo disini, tapi kenapa kok sabtu sm minggu ga buka kaya dulu ya. karena senin-jumat aku full kuliah dan gabisa sempetin kesini🥲. kalo buka sabtu minggu lagi aku ganti jadi bintang 5😄 …",setahun lalu,2025-10-21
nurhadi astra,3.0,"Kualitas Perpusda Sekarang dengan dulu menurun. Dulu ramai sekali, kalau sekarang sepi. Bisa dihitung jari yg datang.. Yg menyedihkan WIFI nya sering putus koneksi dan lemot sekali seperti memakai jaringan 3G. Semoga kedepannya bisa lebih baik lagi.",2 tahun lalu,2025-10-21
Aldino Cesar,5.0,"Tempatnya nyaman bngtt, mulai dari staff, mahasiswa yang pkl, pak satpam, semua nya ramah ramahh. Terimakasih pelayanan terbaiknya",setahun lalu,2025-10-21
Adika Mandala Malik,5.0,"Nice Place. Bukunya lengkap dan berbagai macam jenis. Selama pandemi pengembalian melalui drive-thru. Tempatnya nyaman dulu waktu sebelum pandemi. Banyak tempat duduk dan baca, ada loker penitipan barang-barang seperti tas. Jika ingin meminjam buku harus punya kartu dahulu kalau dulu. Maksimal pinjam dua buku selama dua minggu(sebelum pandemi(tidak tahu kalau selama pandemi)). Ada toilet dan mushola dibelakang perpustakaan.",4 tahun lalu,2025-10-21
Reyza Pahlevi,1.0,"Tempat duduk pengunjung kurang, wifi lemot seharusnya ditambah agar kalo rame tidak bikin lemot",10 bulan lalu,2025-10-21
Dwi Rika,5.0,"Nyaman banget, CS ramah, InsyaAllah Buku Biografi dll / Kamus / Jurnal ilmiah ada Lengkap..

Sementara ini jadwal Perpusdanya,
Buka Senin - Jumat jam 08.30 - 15.30
Sabtu, Minggu, Tanggal Merah LIBUR.

Tersedia Pengembalian Buku Drive Thru juga lhoo (jadi kalean ngga perlu ribet parkir) ntar dah ada petugas yg ambil bukunya.. Jadwalnya lupa jam berapa aja wkwkwk *monmaapyak

Oiya guys, jangan lupa tinggalin jejak kamu dengan isi buku tamu ya😊",3 tahun lalu,2025-10-21
Nunung Alfiyanti,3.0,waktu anak saya mau berkunjung di ruang disabilitas tidak ada petugas yang responsif dan informatif,7 bulan lalu,2025-10-21
Wendys And,2.0,dulu sebelum covid hari sabtu-minggu buka. ini udah new normal bahkan normal kok ga kembali dibuka ya untuk weekend. gimana mau maju orang minat baca aja gak difasilitasi kayak gini.,setahun lalu,2025-10-21
Berlian Sanjuli,5.0,"Mantab bukunya banyak, pandemi, gk bisa masuk ....",4 tahun lalu,2025-10-21
Astini,5.0,Bagus sekali tempat nya.selama ini hanya lihat di Instagram saja,6 bulan lalu,2025-10-21
Benny Setyawan,4.0,"Tempatnya homey banget. Mulai sering kesini sejak kelas 1 SMA sampai sekarang. Koleksi bukunya cukup lengkap. Fasilitas di dalamnya full AC, free wifi, colokan, toilet, ruang komputer, tempat penitipan barang, plus seperti pada umunya
ruangannya sepi jadi enak buat baca atau ngerjain tugas. Ada juga fasiliras musholla di luar tapi masih di dalam area perpustakaan. Bagi yang ingin meminjam buku
harus daftar jadi member dulu. Peminjaman maksimal hanya 2 buku untuk jangka waktu 2 minggu. Untuk kekurangannya masih sama petugasnya rada judes ya hehe. Udah berumur semua jafi bawaannya spaneng mungkin haha. Tempat parkir luas tapi sayang untuk keluar masuk tidak ada pengecekan STNK jadi keamanannya sangat kurang.",6 tahun lalu,2025-10-21
Nikma Sholiqah,5.0,Mengembalikan buku yg dipinjam saat pandemi tidak terkena suspend.. Pelayanannya sudah jauh lebih baik dari sebelum pandemi.. Mba mba yang bertugas ramah2 skali.. Ada wifi nya juga.. Cocok buat nugas,2 tahun lalu,2025-10-21
Nurul Auliya,1.0,"Perpustakaan ini dulu sebelum covid. Buka sampai hari Minggu. Sabtu juga buka. Kenapa sekarang Sabtu  dan Minggu gak buka.
Covid pun sudah meredah di Surabaya.
.
Hari Sabtu dan Minggu adalah hari dimana banyak pekerja, mahasiswa, pelajar libur. Dan butuh refrensi buku..
.
Sangat di sayangkan. Sekali.
.
Bahkan Senin sampai jumaat pun hanya buka sampai pukul 15.00.🤦.
Sedangkan anak sekolah SMA rata rata pulang jam 13.00-15.00.
.
Mohon untuk dirubah jam operasional nya.
Mengingat ini adalah fasilitas umum jadi bisa mengcover kebutuhan masyarakat.",2 tahun lalu,2025-10-21
