username,rating,review_text,relative_date,review_date
Nadya Ambarwati,3.0,"Suasana enak, tidak ramai. Untuk koleksi bukunya banyak, tapi sayang buku yg dicari ngga sesuai sama lokasi bukunya. Karena ada beberapa pengunjung yg naruh buku di sembarang rak. Jadi banyak buku yg gak sesuai sama rak nya. Harus nyari satu satu.
Dan pas udh nyari satu satu disekitar rak buku tsb malah nggak nemu. Padahal waktu nyari di komputer tulisannya tersedia.

Apa karena tidak ada tulisan ""Mohon Kembalikan Buku Sesuai Dengan Raknya"" ??",3 tahun lalu,2025-10-21
Palupi Rickenbach (Asa),5.0,"Perpustakaan beroperasi seperti jadwal biasanya. Selama pandemi diwajibkan untuk menggunakan masker di dalam dan mencuci tangan/menggunakan hand sanitizer sebelum masuk. Terdapat beberapa meja yang bisa digunakan untuk mengerjakan tugas atau bekerja. Namun power outlet sangat terbatas dan tersedia di dekat titik tertentu saja. Terakhir kali dikunjungi, sedang ada renovasi di dalam gedung perpustakaan, sehingga situasi tidak kondusif.",3 tahun lalu,2025-10-21
Nila Rohmatin,5.0,"Tempatnya nyaman bgt, ga terlalu ramau juga. Jadi lebih fokus aja kalau mau baca atapun kerjain tugas.",Diedit 3 tahun lalu,2025-10-21
Farah,3.0,"Dari tempat parkir sangat aman, dan bapak penjaga parkirnya juga ramah. Setelah masuk ruangannya cukup nyaman krn dingin dn tidak panas, buku bukunya juga menurut aku lengkap + ada ruang yang tertutup untuk buku"" yg mungkin khusus yaa. Tetapi sedikit saran untuk teman"" karyawan disanaa buat tidak terlalu bising dan mengecilkan volume jika lg menonton sesuatu. Karena waktu itu kerasa bising dan ngerasa kurang nyaman, ada karyawan yang nonton horror keras banget.. sama ada yg lg ketawa ketawa sama temenyaa.... Jadi kedepannya mungkin bisa improve lagii",setahun lalu,2025-10-21
Ukmppd Materi,1.0,"Padahal perpustakaan, tp kenapa petugasnya rame bgt🥲😭 mengganggu kenyamanan …",5 bulan lalu,2025-10-21
Wempy Eriyano,3.0,"Lokasi buku berantakan, tidak sesuai yg tertera di katalog.
AC mati, bikin gerah.
Susah cari colokan listrik.",3 tahun lalu,2025-10-21
Clarizanti,4.0,"Pilihan bukunya cukup banyak dan lengkap, ruangannya nyaman. Ada gamelan juga di sini.",7 tahun lalu,2025-10-21
Rahmi Adhyaksa,4.0,"1. petugasnya ramah2, tanggap, solutif. alhamdulillah, mematahkan stigma kalo petugas pemerintahan itu jutek, lelet dsb. 😂

2. wi-fi kadang ilang-ilangan dan lemot. buat buka video di youtube bener2 ga bisa. padahal salah satu sumber referensi skripsi saya itu video debat capres di youtube, kadang ada beberapa materi dan webinar di sana. 😭😭😭😭

3. kamar mandi walaupun sempit tapi bersih, rapi, wangi. lingkungannya juga. cuman, tempat parkirnya alamak puanasss pol.

4. colokannya kurang banyaaaaakkkkkk. bahkan ada beberapa colokan yg ga nyala.

5. alhamdulillah buka tiap hari, meskipun jamnya dibatasi.
saya kadang bertanya: kenapa ya ga semua fasilitas publik itu buka 24 jam? kan bisa tuh kalo ada anak sekolah atau mahasiswa yang pulangnya malem, ngerjakan tugasnya biar di perpus aja. biar ga kebanyakan nongkrong, hehe.",2 tahun lalu,2025-10-21
Yose Rahayu,5.0,"Alhamdulillah ternyata buka, tenang, sepi, dingin",2 tahun lalu,2025-10-21
lazva,1.0,"1. Petugas yg standby di lobby agak useless. Ditanya terkait colokan, jawabannya “kurang tau” tanpa memberikan solusi apapun

2. Bawa masuk HELM anda jika datang ke perpus ini saat musim hujan. Karena tidak ada seprang pun yg akan mengingatkan atau menjaganya agar tidak kehujanan di parkiran.",setahun lalu,2025-10-21
Reno AlFareza,1.0,"udah 2 tahun bolak balik perpus ini tapi pegawainya masih rame seenaknya, berisik banget!!",7 bulan lalu,2025-10-21
Imama Safira Izza,5.0,"Dulu jaman sekolah sering banget kesini, yg bener bener sering! Seminggu 4x!
Tapi sekarang kenapa Sabtu Minggu harus tutup? Kenapa ga tambah jadwal? Tolong dong pemkot buka lowongan disini sabtu minggu biar warga rungkut dan sekitarnya bisa kesini hari minggu, juga nambah lapangan kerja baru.",setahun lalu,2025-10-21
donny handoyo,5.0,"Lokasi strategis, disediakan juga kursi dan sofa untuk membaca",setahun lalu,2025-10-21
Putra Adit perkasa,3.0,Wifinya kurang Joss dan perlu ditingkatkan lagi untuk wifinya bisa cepat dan merata diseluruh ruangan kadang kalau diruang kaca wifinya gadapat sama lemah dan juga bisa diperluas lagi untuk area charging plug nya ya makasih,2 tahun lalu,2025-10-21
Yantie Fathahillah,4.0,"Kasih karpet bulu kayak dulu donk untuk ruang anak...biar nyaman dan betah. Dulu saya tiap hari ke perpus ini dengan anak2. Karena pake karpet jadi enak duduknya, bersih karena ada penyedot debu yang besar. Terus dulu saya sempat bawa jarum dan benang buat menjahit boneka yang rusak. Tapi sekarang, saya ga pernah lagi keruang anak. Karena ga ada karpet bulu..rasanya ga nyaman lama2 disana. Penataan ruang dewasa dulu lebih nyaman. Ruang duduk ditengah, lemari bukan vertikal gini tapi keliling, jadi lebih terang. Dan ga ada tempat gelap. Lebih berani sendiri karena pasti kita keliatan ama petugas dan pembaca lain. Sekarang aku takut, karena ada sisi yg gelap.",3 tahun lalu,2025-10-21
cloth,1.0,"Perpustakaan kok yang rame malah pegawainya, rakyat yang gaji tapi seenaknya, tolong evaluasi",7 bulan lalu,2025-10-21
Ganda Wahyu Anggoro,1.0,"Tidak ramah, tidak paham konsep perpustakaan..... seolah2 menerapkan jangan bersuara kepada pengunjung perpus, tapi pegawainya yg dibayar uang pajak seenaknya teriak2",setahun lalu,2025-10-21
Siti Munivatus Zahro,5.0,"Pelayanan baik, fasilitas tersedia buku, tempat penyimpanan tas, pinjam buku, charger corner, ruamg baca anak, ruang baca dewasa, dll. Tiap senin-jumat tutup jam 7 malem, sabtu-minggu tutup sore. Nyaman buat belajar, cuman kalo jam pulang SMA17, SMP35 dan sekitrnya pasti rame bgt anak2nya. varian buku kurang lengkap dibandingkan perpusda manyar. Tp plusnya disini cocok bwt anak2 main, belajar, ruangan anaknya nyaman bgt",6 tahun lalu,2025-10-21
Larasati Ika,3.0,"1. Tolong petugasnya lebih aktif lagi mengawasi pengunjung.

Anak2/pelajar2 sering datang bagus. tp ada baiknya diingatkan agar tidak berisik.
*Seringkali banyak pelajar2 datang buat kerja kelompok, ngomong-itu sudah mengganggu tlong kalo sudah mulai gaduh diingatkan.

Waktu itu jg diruang yg pojok yg dipisah dgn ruang kaca ada kelompok pelajar makan didlm ruangan.

2. Petugas kalo ngecek2 sesuatu ya hormati pengunjung. Klo butuh ngomong sm rekan ya volumenya agak pelan. Sering petugasnya ngomongnya volumenya keras.

3. Saran, kasih tas khusus utk pengunjung spt perpus unair dsb. Spy waktu masuk bagi yg butuh bawa laptop/buku besar utk belajar/kerjakan tugas nyaman.

4. Saran, tolong sediakan ruang belajar khusus/ diskusi.

Cap jempol utk keramahan pegawainya.",6 tahun lalu,2025-10-21
Ahmad Fakhril Aziz,5.0,"Petugasnya ramah, tempatnya nyaman",setahun lalu,2025-10-21
Firani Dwi Putri,5.0,"Kemana aja selama ini baru berkunjung kesini huhu..
Suasa sunyi pas banget buat nugas dan baca2...
AC nya pas. Gak dingin gak panas",setahun lalu,2025-10-21
Yayan M,4.0,"Biasa ke sini mengantar keponakan, membaca buku-buku anak.

Koleksi lumayan lengkap (untuk buku anak), pencahayaan agak gelap dan ruangan berasa lembab/bau karpet, mungkin perawatan bisa ditingkatkan.

Gratis keanggotaan untuk warga Surabaya, tinggal memberitahukan nomor Kartu Keluarga bisa langsung menjadi anggota (sistemnya online).

Parkirnya kalau bisa gratis, dan kantin di sebelah perpustakaan bolehlah rasanya untuk mengisi perut 🤓.",8 tahun lalu,2025-10-21
elabelab elabelab,3.0,"Saya kesana waktu hari Kamis kok tutup ya, apakah karna ada liburan sekolah atau gimana ya?",9 bulan lalu,2025-10-21
Puspita Maharani,5.0,"lumayan lengkap bukunya,,ada wifi,adem,tapi agak berisik karena campur tidak ada disediakan ruang diskusi sendiri ruang kerjain tugas rame.rame
tapii mantaps lah pelayanannya",5 tahun lalu,2025-10-21
Aira rakanisa Aulia,3.0,"Baru kedua kali kesana untuk rujuan bukan kunjungan perpustakaan, sebelum masuk ruang koleksi kesan pertama adalah gelap. Meski dihiasi mural warna warni namun pencahayaan cukup temaram sehingga terlihat gelap

Beberapa informasi di papan pengumuman kurang up to date, namun cukup informatif untuk informasi kegiatan reguler. Yang disayangkan web yang harusnya memuat banyak informasi masih kurang optimal, tampak hanya sebagai pelengkap saja

Informasi mengenai rute ke perpustakaan dengan kendaraan umum, kabar terbaru atau kegiatan yang bisa diinfokan lewat  newsletter bersubscribe tak ada, yang lebih disayangkan saat mencoba mendaftra keanggotaan online selalu gagal, padahal syarat yang diminta cukup pribadi seperti scan fc ktp dan kk.

Semoga selanjutnya bisa ditingkatkan terutama untuk website.",7 tahun lalu,2025-10-21
Yuliana Hastin Asyrofiyah,2.0,"Setelah pandemi, baru sekali kesini dan menurut saya perlakuan ke pengunjung terlalu berlebihan. Harus pakai masker dan face shield walaupun di ruangan baca sendirian. Sangat membuat tidak nyaman berada di perpus lama-lama.",5 tahun lalu,2025-10-21
Tesya Monica,3.0,"Ini konsep nya perpustakaan tapi kenapa malah karyawan nya sendiri yang ribut banget, setau saya perpustakaan itu gak boleh ribut dan hening.",setahun lalu,2025-10-21
Ismi Azizah,5.0,"Halamannya luas, parkirannya teduh dan gratis, perpustakaannya luas, tempat penyimpanan barangnya aman, tempat tunggu yang nyaman, ada ruangan buat anak-anak, meja dan kursi baca yang nyaman dan banyak, pelayanannya baik, terdapat web untuk mencari buku-bukunya sehingga memudahkan, ruangannya dingin, suasananya tenang dan masih banyak lagi 👍",6 tahun lalu,2025-10-21
Salam Damai,5.0,"Perpustakaan Umum Surabaya yang berada di Rungku Asri, parkirnya sangat luas dan kantinnya udah bersih dan tertata rapi. Semoga donatur buku semakin banyak agar menjadi perpustakaan terlengkap.",6 tahun lalu,2025-10-21
Rudy Prayitno (Rudy SP),5.0,"Tempat yang selalu full pengunjung. Memiliki banyak kegiatan untuk meningkatkan kemampuan membaca, bercerita, dan menulis bagi siswa dan masyarakat. Membantu Sekolah dan TBM dengan mengirim tenaga terlatih untuk peningkatan Gerakan Literasi di kota Surabaya. Tempat sejuk, nyaman, dan indah serta ramah penghuninya.",7 tahun lalu,2025-10-21
Agus Nur Fathoni,5.0,Perpustakaan yang sangat bagus. Banyak buku berbagai bidang. Tempat untuk membaca juga sangat banyak dan nyaman. Kursi dan sofa-sofa yang nyaman. Terdapat ruang khusus anak-anak yang luas dan nyaman. Terdapat mushola juga. Tempat parkir yang luas. Sangat baik bagi yang ingin meluangkan waktu membaca dan mencari literatur,5 tahun lalu,2025-10-21
Asitah Nurulinayah,5.0,"Tempatnya sejuk, nyaman, petugasnya ramah ramah, buku bukunya lumayan banyak dan bagus walau kurang tertata, tapi tetap jadi tempat favorit untuk menghabiskan waktu menjadi bermanfaat.. saran: tambahkan buku biografi nya yaa. Thanks.",6 tahun lalu,2025-10-21
Ruroh Ya,5.0,"keren, bukunya cukup lengkap",6 bulan lalu,2025-10-21
Neng Yani Fatra,5.0,"Alhamdulillah Sangat Nyaman dan Tenang,,,anak q betah berlama lama di perpustakaan ini,, semoga bertambah Pintar dan Hebat para pengguna Perpustakaan Surabaya khususnya Indonesia pada umumnya 😊👍👍 …",4 tahun lalu,2025-10-21
Belajar Ukmppd,1.0,Ribet bgt isi data segala macem,5 bulan lalu,2025-10-21
SEPTIA NUR'AINI,4.0,"Parkir luas, pelayanan ramah, tempat baca nyaman, hanya saja ada ruang yang seharusnya masih buka tapi harus tutup lebih awal seperti ruang referensi dan ruang e-journal. Ruang tsb tutup jam 14.30.",7 tahun lalu,2025-10-21
Novelia kavitasari,2.0,"Lampunya kurang terang , tolong untuk pencahayaannya dibenahi lagi , buku-bukunya tidak tertata dengan baik sesuai kategorinya , sehingga saya sering kesulitan mencari buku, buku novel kurang lengkap juga , terus pengunjung yang suka ngobrol tolong ditegur soalnya mengganggu pengunjung yang lainnya.",7 tahun lalu,2025-10-21
Ika Ariyani,5.0,Proses daftar anggota dan peminjaman cepat sekali,2 tahun lalu,2025-10-21
Jual Sarung Grosir Murah Produksi Pabrik,5.0,Selamat datang di perpustakaan kota Surabaya di Jalan Rungkut asli di mana tempat perpustakaan ini sangat luas bersih dan cocok untuk anak remaja dan orang tua di sini juga disediakan beberapa lokasi khusus sehingga memudahkan dan membuatku nyaman dalam belajar. ayooo segera datang keperpustakaan nikmati semua pelayanannya.,Diedit 5 tahun lalu,2025-10-21
right,1.0,RAME BANGET PEGAWAINYA!! udah tau namanya perpustakaan,7 bulan lalu,2025-10-21
Amazing Millenials,5.0,Sehat selalu para staf dan pegawai dinas perpustakaan rungkut,8 bulan lalu,2025-10-21
sugiarto widianto,5.0,"Sangat bermanfaat,bukunya lengkap,semua gratis kecuali parkir,cuma ruangannya kurang dingin dan penerangannya kurang",10 tahun lalu,2025-10-21
Khoirun Nasab,5.0,Mohon maaf bertanya Apakah ada Wifi-nya kak perpustakaan kota?,setahun lalu,2025-10-21
ayu putri,5.0,Teringat dulu belajar ku di perpustakaan,7 bulan lalu,2025-10-21
FriedSandal,5.0,"Tempatnya bersih, AC nya berfungsi dengan baik, buku buku yang saya butuhkan juga ada banyak",3 tahun lalu,2025-10-21
erna setya,1.0,"tolong lah ya pegawainya itu... dicek kek, kalau ada yang mengganggu atau gaduh ditegur. jangan didiemin aja, kaya gabut gitu pegawainya gerombol ngobrol sendiri
minta tolong cariin buku juga gak ketemu smua... gak ramah meskipun pegawainya masih muda muda. tegesnya kalau cuma mau tutup aja baru deh triak triak
kalah sama perpustakaan provinsi jatim",8 tahun lalu,2025-10-21
Maria Lim,3.0,"Cuma mau kembalikan buku, kebetulan sambil jpt sekolah, sekitar jam 12 lebih, tp ditolak. Disuruh balik lagi jam 1",7 tahun lalu,2025-10-21
Tirta Amerta,5.0,"Sejuk, nyaman, tidak ramai & tersedia colokan ❤
Tas harus dimasukkan ke loker.",3 tahun lalu,2025-10-21
iyunk,4.0,budayakan membaca yuk biar gak mudah nyinyir.. untuk perpustakaannya tolong pencahayaannya masih kurang terang untuk membaca biar gamudah capek terimakasih,8 tahun lalu,2025-10-21
Rio Ahmad,5.0,Tempatnya nyaman buat membaca buku dan bukunya juga lengkap kayak bahasa indonesia dan bahasa lain juga ada serta buku crita nya lengkap,3 tahun lalu,2025-10-21
Windy Putri Ramadhani,3.0,Tolong pakirnya gratis saja😭😭. Saya suka yang dimenur loh karna lengkap dan gratis. Tapi saya berharap fasilitas yang disini sama seperti dimenur. Apalagi yang disini dekat rumah😂😭😭😭 …,8 tahun lalu,2025-10-21
Reny Istikhomah,4.0,"Kurang nyaman. Kok bisa perpustakaan ada anak"" nyanyi"" kayak paduan suara secara bebas didalam ruang baca",7 tahun lalu,2025-10-21
Star Maissya,5.0,"Tempat yg asyik buat belajar, tenang dan koleksi bukunya banyak...",2 tahun lalu,2025-10-21
Dewiisnaiinii Fadillah,5.0,"Fasilitas nya udah Bagus. Sayang perpustakaannya terlalu berisik, bisa mengganggu konsentrasi belajar.:)",7 tahun lalu,2025-10-21
purnomo hadi,4.0,Tempatnya cocok utk belajar anak sekolah maupun tempat memperoleh berbagai ilmu pengetahuan...,7 tahun lalu,2025-10-21
Mega H,2.0,"Suasana tidak kondusif, banyak pengunjung yg ngobrol sehingga suasana menjadi ramai dan tidak ada petugas yg menegur",7 tahun lalu,2025-10-21
Maroah Sholeh,3.0,"Lumayan nyaman tempatnya, referensi bukunya kurang lengkap dan tidak terlalu rame",7 tahun lalu,2025-10-21
prepprep pross,5.0,"Ruangan luas, layanan bagus.",9 bulan lalu,2025-10-21
Rafie Agustiyo Saputra,5.0,Sangat bagus sekali . Ada Pendaftaran KTA nya . Bukunya jg lengkap,5 tahun lalu,2025-10-21
Pratiwi Bestariati,4.0,"Cukup lengkap koleksi bukunya dan tempatnya cukup luas, namun parkirnya tidak gratis.",9 tahun lalu,2025-10-21
MILIREZEKI Grosir Sarung Murah Berkualitas,5.0,Selain perpustakaan melayani peminjaman buku. Juga melayani pelatihan khusus untuk petugas maupun pengunjung. Mantul,6 tahun lalu,2025-10-21
mei wulan,5.0,Perpustakaan nya semakin lengkap dan semakin nyaman..... perpustakaan terlengkap dan ternyaman di Surabaya 🥰 …,2 tahun lalu,2025-10-21
Nurul Rahmawati,3.0,"Banyaaaak koleksi majalah dan buku yang bisa dibaca-baca.
Jadi alternatif liburan nih",9 tahun lalu,2025-10-21
Budi Kuntono,5.0,"Gratis , denda murah , petugas cantik2 ,ramah , lengkap ,penerangan kurang ,ac cukup ,thanks mdh2an makin berkembang",9 tahun lalu,2025-10-21
Abdul Qadir,4.0,"Sangat membantu saat tugas zaman kuliah dulu, referensinya cukup banyak",5 tahun lalu,2025-10-21
maharani nur aisyah,4.0,"Bukunya tidak tertata dengan rapi, jadi susah nyari buku sesuai tema nya",7 tahun lalu,2025-10-21
Mansur Setiawan,5.0,"KTA saya sdh hangus, waktunya di perpanjang. cocok buat cari referensi skripsi.",9 tahun lalu,2025-10-21
Arika Laili,5.0,Betah disini. Cocok buat belajar. Walaupun nyaman tapi nggak jadiin ngantuk.,5 tahun lalu,2025-10-21
Fauzul Rizal,4.0,Bukunya amat lengkap namun ruangannya sedikit panas.,10 tahun lalu,2025-10-21
Azzam Fattahul Firdaus,2.0,"Buku kurang tertata, petugas cuek, kurang nyaman, bau kurang sedap, pencahayaan redup",8 tahun lalu,2025-10-21
andre bohay,5.0,"Semua yang anda perlukan ada disini. Buku, bahan pustaka, bahan digital, online servis dll",5 tahun lalu,2025-10-21
Didi Suardi (Bang Dorris),5.0,Sangat baik dan melegenda untuk era dan jaman kedepan...,2 tahun lalu,2025-10-21
Little star,3.0,Bisakah tempat nya lebih nyaman lagi untuk dijadikan tempat baca :),5 tahun lalu,2025-10-21
Fadila Nisa,5.0,Sudah buka perpustakaannya tapi gabisa pinjam buku huft,4 tahun lalu,2025-10-21
01_Achmad Maulana,5.0,Nyaman,7 bulan lalu,2025-10-21
Afiyani ZM,5.0,Nyaman tempatnya. Ada wifi juga,4 tahun lalu,2025-10-21
Official Best,5.0,Bukunya rapi dan petugas baik,Diedit 8 tahun lalu,2025-10-21
Popy merliana,5.0,Nyaman n bukunya selalu update,7 tahun lalu,2025-10-21
Z Nstn,5.0,Sederhana & buku berbahasa Inggris masih sedikit,8 tahun lalu,2025-10-21
ayesha ganegoda,4.0,bagus tapi tutupnya cepet bgt :(,3 tahun lalu,2025-10-21
hafid fahrizal,4.0,Banyak perubahan sekarang,setahun lalu,2025-10-21
Zulfa Nur Wisda,4.0,Cari buku-buku tafsir dan fiqih di sini tempatnya,8 tahun lalu,2025-10-21
gatot subiyantoro,4.0,koleksi bukunya kurang lengkap,4 tahun lalu,2025-10-21
Adryansyah Aji,5.0,Buat wifi an cepppet ga lelet,9 tahun lalu,2025-10-21
Kak DimDim Pendongeng,5.0,Kunjungilah untuk memenuhi kebutuhan literasi Anda.,5 tahun lalu,2025-10-21
Nur Eryana,5.0,Tempat nya nyaman untuk membaca,6 tahun lalu,2025-10-21
Sari Rahmayanti,4.0,"Lokasinya strategis, deket sekolahan",6 tahun lalu,2025-10-21
Surya Desain,4.0,Tempat bacaan bagus,11 tahun lalu,2025-10-21
Lila Naya,4.0,Apakah di perpus ini sudah bisa baca ditempat ya,4 tahun lalu,2025-10-21
Asyam Mulayyan Dary,5.0,Yuk budayakan membaca!,9 tahun lalu,2025-10-21
Iggy Budiman,4.0,Bravo pelayanan pemkot Surabaya.,9 tahun lalu,2025-10-21
Sherlock Holmes Jr.,5.0,Koleksinya lengkap,7 tahun lalu,2025-10-21
chelsea shelly,5.0,Petugasnya ramah-ramah 😊 …,8 tahun lalu,2025-10-21
NurulSaja,5.0,Oke 👍 …,5 tahun lalu,2025-10-21
Muhammad Ivan,5.0,Koleksi lengkap,7 tahun lalu,2025-10-21
Jasmin Allen,5.0,Menyenangkan,2 tahun lalu,2025-10-21
Balqis Rosalinda,5.0,Nyaman,2 tahun lalu,2025-10-21
Ariaffandi Afandi,3.0,Bagus,9 tahun lalu,2025-10-21
Anggi Dian Anggraini,3.0,cangkruk,12 tahun lalu,2025-10-21
ida ida,5.0,Tempat yang bagus untuk penyembuhan diri,5 bulan lalu,2025-10-21
Mario Prasetya Mulya,5.0,Perpustakaan yang bagus ya,8 tahun lalu,2025-10-21
diinah fadhilah,5.0,Bagus!,3 tahun lalu,2025-10-21
Ade 13,5.0,Luar biasa,2 tahun lalu,2025-10-21
Google Street View,5.0,membersihkan,2 tahun lalu,2025-10-21
Zaldie Zaleem,5.0,Pengetahuan,6 tahun lalu,2025-10-21
muhammad mahrus,4.0,"Pelayanan yang baik,",6 tahun lalu,2025-10-21
Indra Hermawan,5.0,Bagus,9 tahun lalu,2025-10-21
